platform_number,float_serial_no,project_name,pi_name,platform_type,direction,data_centre,cycle_number
b'3901649 ',b'AL2500-17DE026                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',74.0
b'3901879 ',b'AI2600-16FR042                  ',b'MOCCA-NETH                                                      ',b'Andreas Sterl                                                   ',b'ARVOR                           ',b'A',b'BO',102.0
b'3901883 ',b'AI2600-16FR046                  ',b'MOCCA-NETH                                                      ',b'Andreas Sterl                                                   ',b'ARVOR                           ',b'A',b'BO',108.0
b'3901883 ',b'AI2600-16FR046                  ',b'MOCCA-NETH                                                      ',b'Andreas Sterl                                                   ',b'ARVOR                           ',b'A',b'BO',109.0
b'3901899 ',b'AI2600-16FR062                  ',b'MOCCA-EU                                                        ',b'Pierre-Marie Poulain                                            ',b'ARVOR                           ',b'A',b'BO',109.0
b'3901913 ',b'AI2600-16FR076                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',142.0
b'3901913 ',b'AI2600-16FR076                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',143.0
b'3901913 ',b'AI2600-16FR076                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',144.0
b'3901914 ',b'AI2600-16FR077                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',142.0
b'3901914 ',b'AI2600-16FR077                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',143.0
b'3901916 ',b'AI2600-16FR079                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',142.0
b'3901916 ',b'AI2600-16FR079                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',143.0
b'3901917 ',b'AI2600-16FR080                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',142.0
b'3901917 ',b'AI2600-16FR080                  ',b'MOCCA_EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',143.0
b'3901958 ',b'AI2600-16FR101                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',74.0
b'3901958 ',b'AI2600-16FR101                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',75.0
b'3901958 ',b'AI2600-16FR101                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',76.0
b'3901959 ',b'AI2600-16FR102                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',74.0
b'3901959 ',b'AI2600-16FR102                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',75.0
b'3901960 ',b'AI2600-16FR103                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',74.0
b'3901960 ',b'AI2600-16FR103                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',75.0
b'3901960 ',b'AI2600-16FR103                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',76.0
b'3901961 ',b'AI2600-16FR104                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',71.0
b'3901961 ',b'AI2600-16FR104                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',72.0
b'3901961 ',b'AI2600-16FR104                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',73.0
b'3901961 ',b'AI2600-16FR104                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',74.0
b'3901962 ',b'AI2600-16FR105                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',71.0
b'3901962 ',b'AI2600-16FR105                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',72.0
b'3901962 ',b'AI2600-16FR105                  ',b'MOCCA-EU                                                        ',b'Romain Cancouet                                                 ',b'ARVOR                           ',b'A',b'BO',73.0
b'3901966 ',b'AI2600-16FR109                  ',b'MOCCA-NETH                                                      ',b'Andreas Sterl                                                   ',b'ARVOR                           ',b'A',b'BO',65.0
b'3901966 ',b'AI2600-16FR109                  ',b'MOCCA-NETH                                                      ',b'Andreas Sterl                                                   ',b'ARVOR                           ',b'A',b'BO',66.0
b'3901966 ',b'AI2600-16FR109                  ',b'MOCCA-NETH                                                      ',b'Andreas Sterl                                                   ',b'ARVOR                           ',b'A',b'BO',67.0
b'5902343 ',b'8252                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'5902343 ',b'8252                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902343 ',b'8252                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',198.0
b'5902343 ',b'8252                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',199.0
b'5902344 ',b'8253                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',195.0
b'5902344 ',b'8253                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'5902344 ',b'8253                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902344 ',b'8253                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',198.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',283.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',284.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',285.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',286.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',287.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',288.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',289.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',290.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',291.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',292.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',293.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',294.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',295.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',296.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',297.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',298.0
b'5902345 ',b'8254                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',299.0
b'5902346 ',b'8255                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',195.0
b'5902346 ',b'8255                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'5902346 ',b'8255                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902346 ',b'8255                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',198.0
b'5902347 ',b'8256                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',195.0
b'5902347 ',b'8256                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'5902347 ',b'8256                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902347 ',b'8256                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',198.0
b'5902348 ',b'8257                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902348 ',b'8257                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',198.0
b'5902348 ',b'8257                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',199.0
b'5902350 ',b'8259                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',194.0
b'5902350 ',b'8259                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',195.0
b'5902350 ',b'8259                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'5902350 ',b'8259                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902353 ',b'8262                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',194.0
b'5902353 ',b'8262                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',195.0
b'5902353 ',b'8262                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'5902353 ',b'8262                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902354 ',b'8263                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',203.0
b'5902354 ',b'8263                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',204.0
b'5902354 ',b'8263                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',205.0
b'5902354 ',b'8263                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',206.0
b'5902355 ',b'8264                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902355 ',b'8264                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',198.0
b'5902355 ',b'8264                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',199.0
b'5902356 ',b'8265                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',194.0
b'5902356 ',b'8265                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',195.0
b'5902356 ',b'8265                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'5902356 ',b'8265                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902358 ',b'8267                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',195.0
b'5902358 ',b'8267                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'5902358 ',b'8267                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902358 ',b'8267                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',198.0
b'5902359 ',b'8268                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',197.0
b'5902359 ',b'8268                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',198.0
b'5902359 ',b'8268                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',199.0
b'5902364 ',b'8285                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',191.0
b'5902364 ',b'8285                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',192.0
b'5902364 ',b'8285                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',193.0
b'5902364 ',b'8285                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',194.0
b'5902368 ',b'8289                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',191.0
b'5902368 ',b'8289                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',192.0
b'5902368 ',b'8289                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',193.0
b'5902368 ',b'8289                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',194.0
b'5902369 ',b'8290                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',191.0
b'5902369 ',b'8290                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',192.0
b'5902369 ',b'8290                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',193.0
b'5902369 ',b'8290                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',194.0
b'5902372 ',b'8293                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',191.0
b'5902372 ',b'8293                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',192.0
b'5902372 ',b'8293                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',193.0
b'5902372 ',b'8293                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',194.0
b'5902451 ',b'8442                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',140.0
b'5902451 ',b'8442                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',141.0
b'5902451 ',b'8442                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',142.0
b'5902454 ',b'8445                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',140.0
b'5902454 ',b'8445                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',141.0
b'5902454 ',b'8445                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',142.0
b'5902480 ',b'8472                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',121.0
b'5902480 ',b'8472                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',122.0
b'5902480 ',b'8472                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',123.0
b'5902486 ',b'8478                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',119.0
b'5902487 ',b'8479                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',119.0
b'5902488 ',b'8480                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',119.0
b'5902488 ',b'8480                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',120.0
